is_owner,is_promoted,is_open,is_exposure,url,created,advertised_date,id,rentable_id,city,city_area,street_name,postal_code,description,category,title,rooms,size_m2,monthly_rent,monthly_rent_currency,monthly_rent_extra_costs,prepaid_rent,deposit,deposit_currency,location,open_house,images,has_video,formatted_address,state,floor,rental_period,available_from,is_contactable_via_message,other_details,review_reason,needs_follow_up,city_level_1,city_level_2,city_level_3,upsell_url,video_url,digital_showing,created_draft_contract,energy_rating,locked_fields,hide_from_company_search,interactive_floor_plan_id,deleted,social_housing,is_contacted,is_newbuild,ad_phone_number,video
False,False,False,False,/lejligheder/k%C3%B8benhavn/36m2-2-vaer-id-5305148,2022-09-26T14:57:27.112156+00:00,2024-05-08T12:10:42.166475+00:00,5305148,5335163,København,København K,Gernersgade,1319,,rental_apartment,Apartment close to Amalienborg,2.0,36.0,11000.0,DKK,0.0,0.0,22000.0,DKK,"{'lat': 55.68751, 'lng': 12.589353}",,"[{'url': 'https://image-lambda.boligportal.dk/3d6b9397c591894328bc71251b08a1d4', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/669ea397b5e3b3f136a18f49ee785baf', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/fc5c7c6b59feec0ddc724cfbe8bc20c5', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/bf4c7fb6957bdece90f6abc7b3c07b67', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/6a1a8ad90facdf8f53c1fbc2a703edb7', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,0.0,6,2024-10-01,,,,False,københavn,københavn k,,/lejem%C3%A5l/5335163/produkter,/lejem%C3%A5l/5335163/video,True,True,D,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/79m2-3-vaer-id-5436278,2024-05-08T12:10:03.858573+00:00,2024-05-08T12:10:03.926590+00:00,5436278,5515083,København,Taastrup,Haslevgade,2630,,rental_apartment,3-VÆRELSES I TAASTRUP ,3.0,79.0,12000.0,DKK,1100.0,12000.0,36000.0,DKK,"{'lat': 55.651201, 'lng': 12.27}",,"[{'url': 'https://image-lambda.boligportal.dk/3e3f7fffc68f7861fd3eec23568f3a2c', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/297599f8a82e82472c709b4f17c42b0d', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,0,2024-07-01,,,,False,københavn,taastrup,høje taastrup,/lejem%C3%A5l/5515083/produkter,/lejem%C3%A5l/5515083/video,True,False,A2015,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/143m2-4-vaer-id-5436273,2024-05-08T12:01:53.626909+00:00,2024-05-08T12:01:56.971815+00:00,5436273,5515079,København,København K,Esplanaden,1263,,rental_apartment,Eksklusiv 4-værelses Lejlighed med Charme og Elegance på Esplanaden,4.0,143.0,25000.0,DKK,1750.0,25000.0,75000.0,DKK,"{'lat': 55.687245, 'lng': 12.595104}",,"[{'url': 'https://image-lambda.boligportal.dk/ca514db5a93305c55bc93d2756d29ba9', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/d1e7e8940cd7fd329b0838a930ea1c7b', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/f95273f91283817b2bd2585daed5f91e', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/72d7dcf3c624652e10a057a49ac496ba', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/392c2c95801491fcde525f6c018fd82f', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,3.0,0,2024-08-01,,,,False,københavn,københavn k,,/lejem%C3%A5l/5515079/produkter,/lejem%C3%A5l/5515079/video,False,False,C,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/135m2-3-vaer-id-5436243,2024-05-08T11:24:44.895194+00:00,2024-05-08T11:24:47.615052+00:00,5436243,5515047,København,København K,Papirøen,1436,,rental_apartment,Eksklusiv lejlighed på Papirøen med 15 m2 altan ud mod kanalen - uden ,3.0,135.0,38000.0,DKK,,,114000.0,DKK,"{'lat': 55.679369, 'lng': 12.597593}",,"[{'url': 'https://image-lambda.boligportal.dk/8e028d45117588ba075db650d989d66a', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/06cef41dd4555040e3399c1ecf0dbf05', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/54b5d19f5ee47258a98840c5e841171b', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/de6a64674307c02125c0f492618dca10', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/6a26f8a7965126c12a240db4bb6c366a', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,12,2024-08-01,,,,False,københavn,københavn k,,/lejem%C3%A5l/5515047/produkter,/lejem%C3%A5l/5515047/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/66m2-2-vaer-id-5436228,2024-05-08T10:38:05.653141+00:00,2024-05-08T10:38:05.708565+00:00,5436228,5515029,København,Glostrup,Sydvestvej,2600,,rental_apartment,SPRITNY 2'ER CENTRALT I GLOSTRUP,2.0,66.0,10100.0,DKK,700.0,10100.0,30300.0,DKK,"{'lat': 55.661714, 'lng': 12.384893}",,"[{'url': 'https://image-lambda.boligportal.dk/824e99cb51ffacc47acdbece40dceefe', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/a3c6449ce952f8922945ca19d599b928', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/094406ac3e9cb9c7ffe05ea42feb0119', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3f69c1f9a83599aa4c7ee4bebf3f88bb', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/757d205dda57f0af10c34ea2a4bdb665', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,0,2024-09-10,,,,False,københavn,glostrup,,/lejem%C3%A5l/5515029/produkter,/lejem%C3%A5l/5515029/video,True,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/73m2-3-vaer-id-5436221,2024-05-08T10:24:36.995763+00:00,2024-05-08T10:24:42.023103+00:00,5436221,5515020,København,København K,Fiolstræde,1171,,rental_apartment,Unik lejlighed midt i Københavns hjerte ,3.0,73.0,18000.0,DKK,,,54000.0,DKK,"{'lat': 55.681645, 'lng': 12.572494}",,"[{'url': 'https://image-lambda.boligportal.dk/219b066897064eaee50bfa870ad31625', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3ed6fb5564524312d9576c21eb645470', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4715bc58fbdb509e2718b843f43b49bc', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/22d077471340f8ca0910abca342368d8', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/098d33bae5a63d21c42a969ab8720b85', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,3.0,12,2024-06-04,,,,False,københavn,københavn k,,/lejem%C3%A5l/5515020/produkter,/lejem%C3%A5l/5515020/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/44m2-1-vaer-id-5436212,2024-05-08T09:58:48.852903+00:00,2024-05-08T09:58:52.914918+00:00,5436212,5515011,København,Frederiksberg,Roskildevej,2000,,rental_apartment,Lækker 1-værelses lejlighed på Frederiksberg.,1.0,44.0,9750.0,DKK,500.0,9750.0,29250.0,DKK,"{'lat': 55.671852, 'lng': 12.517034}",,"[{'url': 'https://image-lambda.boligportal.dk/4d4eac2b0cacc536549feabebc5c9947', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/4b00235041fe77651e1ae315e8fc1ff4', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/1183af38064212c313f90c41d3513b54', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/ef0e2dc3ae6392827fd71c51609d4b70', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/10659d6cfa07f8b081c30bd16c0b1d30', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,2.0,0,2024-08-15,,,,False,københavn,frederiksberg,,/lejem%C3%A5l/5515011/produkter,/lejem%C3%A5l/5515011/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/92m2-3-vaer-id-5213854,2021-08-03T09:18:32.916395+00:00,2024-05-08T09:26:02.118208+00:00,5213854,5215883,København,Ballerup,Marbæk Park,2750,,rental_apartment,Skøn lys lejlighed med stor altan,3.0,92.0,13500.0,DKK,1250.0,,40500.0,DKK,"{'lat': 55.719059, 'lng': 12.372125}",,"[{'url': 'https://image-lambda.boligportal.dk/91398b55f4e53366983dbd89afe01918', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/0f5b59d315814ccbd5b0171cb496f4f0', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/d67d80ee55e7c9a3f28be1cc1ba1dcf4', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/96c6faca06d0f0b4dd4bd66e1d451f9e', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/57e4287cf4df2414d3b49b4b3289215b', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,3.0,12,2024-09-01,,,,False,københavn,ballerup,,/lejem%C3%A5l/5215883/produkter,/lejem%C3%A5l/5215883/video,False,False,,[],False,,False,False,False,False,,
False,False,False,False,/lejligheder/k%C3%B8benhavn/81m2-3-vaer-id-5436194,2024-05-08T09:10:05.106299+00:00,2024-05-08T09:10:05.166927+00:00,5436194,5514988,København,Ballerup,Postgrunden,2750,,rental_apartment,LÆKKER 3-VÆRELSES MED EGEN ALTAN ,3.0,81.0,12200.0,DKK,1000.0,12200.0,36600.0,DKK,"{'lat': 55.730632, 'lng': 12.34194}",,"[{'url': 'https://image-lambda.boligportal.dk/90d053ea554caf8ad27543f00392cafe', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/ae61f212c8e32e39e284382ce52a5fb6', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/88a1b3ba7d4170d99e4a2a772e46f026', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/850fb2c7deec3f79d05f3c65b7ba13e8', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/5cb269ea01c862ba5bb1892d568eb544', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,0,2024-10-01,,,,False,københavn,ballerup,,/lejem%C3%A5l/5514988/produkter,/lejem%C3%A5l/5514988/video,True,False,,[],False,,False,False,False,False,,
False,False,False,False,/v%C3%A6relser/k%C3%B8benhavn/15m2-1-vaer-id-5435554,2024-05-04T17:01:04.355306+00:00,2024-05-08T09:03:17.448959+00:00,5435554,5514089,København,Nærum,Rundforbiparken,2850,,rental_room,Et værelse i Rundforbiparken ,1.0,15.0,5000.0,DKK,2000.0,5000.0,15000.0,DKK,"{'lat': 55.827052, 'lng': 12.543977}",,"[{'url': 'https://image-lambda.boligportal.dk/fcb3f61eb10b9f241d490e5e6c4a103a', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/87a954e5bd13385a84cb65f5c7397155', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/3c6875d17baebfd7482f86cc9da9bb5b', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/9cabafc9ca385e544ea725f9f7d551c4', 'is_floor_plan': False}, {'url': 'https://image-lambda.boligportal.dk/0c6896f50274532402d642b05ecd0458', 'is_floor_plan': False}]",False,,ACTIVE_APPROVED,1.0,6,2024-05-15,,,,False,københavn,nærum,,/lejem%C3%A5l/5514089/produkter,/lejem%C3%A5l/5514089/video,False,False,D,[],False,,False,False,False,False,,
